GeneID	Common name	chrom	Strand	TSS	TTS	
YAL068C		chrI	-	2271	1629	
YAL067W-A		chrI	+	2378	2885	
SUT432		chrI	-	6237	5075	
YAL067C	SEO1	chrI	-	9118	7057	
SUT001		chrI	+	9368	9600	
Unit005		chrI	+	10857	11044	
CUT436		chrI	-	11140	10732	
YAL064W-B		chrI	+	11944	12604	
YAL065C		chrI	-	12053	11387	
YAL064C-A		chrI	-	13845	13185	
YAL064W		chrI	+	21421	22028	
YAL063C-A		chrI	-	22787	22217	
YAL063C	FLO9	chrI	-	28069	23822	
SUT433		chrI	-	29772	28083	
CUT001		chrI	+	30072	30904	
CUT437		chrI	-	30892	30532	
YAL062W	"GDH3, FUN51"	chrI	+	31108	31579	
SUT434		chrI	-	32748	31484	
YAL061W		chrI	+	33364	35100	
SUT435		chrI	-	34380	33076	
YAL060W	BDH1	chrI	+	35084	36316	
CUT439		chrI	-	36348	35796	
YAL059W	ECM1	chrI	+	36532	37068	
YAL058W	"CNE1, FUN48"	chrI	+	37396	38900	
YAL056W	"GPB2, KRH1"	chrI	+	39204	41844	
YAL055W	"PEX22, YAF5"	chrI	+	42132	42884	
SUT002		chrI	+	43440	45328	
YAL054C	"ACS1, FUN44"	chrI	-	45124	42703	
YAL053W	HUF2	chrI	+	45748	48316	
YAL051W	"OAF1, YAF1"	chrI	+	48524	51802	
YAL049C		chrI	-	52678	51710	
YAL048C	"GEM1, GON1"	chrI	-	54798	52662	
YAL047C	"SPC72, LDB4"	chrI	-	57046	54974	
YAL044W-A		chrI	+	57416	58028	
YAL046C		chrI	-	57422	57030	
YAL044C	GCV3	chrI	-	58486	57862	
YAL043C	"PTA1, FUN39"	chrI	-	61094	58774	
YAL042W	"ERV46, FUN9"	chrI	+	61274	62594	
YAL041W	"CDC24, CLS4"	chrI	+	62778	65474	
YAL040C	"CLN3, WHI1, FUN10, DAF1"	chrI	-	67846	65590	
SUT003		chrI	+	68718	69486	
YAL039C	CYC3	chrI	-	69622	68646	
YAL038W	"CDC19, PYK1"	chrI	+	71738	73386	
YAL037C-A		chrI	-	73620	73248	
Unit002		chrI	-	73871	73616	
YAL037W		chrI	+	73890	74410	
YAL036C	"RBG1, FUN11"	chrI	-	76198	74927	
YAL035W	"FUN12, eIF5B, yIF2"	chrI	+	76370	77506	
YAL034W-A	"MTW1, NSL2, DSN3"	chrI	+	79690	80610	
YAL034C	FUN19	chrI	-	82053	80532	
YAL033W	"POP5, FUN53"	chrI	+	82682	83314	
YAL032C	"PRP45, FUN20"	chrI	-	84502	83398	
YAL031C	FUN21	chrI	-	87078	84694	
YAL030W	SNC1	chrI	+	87250	87394	
YAL029C	"MYO4, SHE1, FUN22"	chrI	-	92494	87774	
YAL028W	"FRT2, HPH2"	chrI	+	92798	94664	
anti003		chrI	-	93886	93821	
YAL027W		chrI	+	94594	95498	
YAL026C	"DRS2, SWA3, FUN38"	chrI	-	99790	95558	
YAL025C	MAK16	chrI	-	101174	100046	
YAL024C	"LTE1, MSI2"	chrI	-	105966	101470	
YAL023C	"PMT2, FUN25"	chrI	-	108678	106150	
YAL022C	FUN26	chrI	-	110470	108846	
YAL021C	"CCR4, NUT21, FUN27"	chrI	-	113422	110630	
YAL020C	"ATS1, KTI13, FUN28"	chrI	-	114622	113574	
YAL019W	FUN30	chrI	+	114810	118377	
YAL018C		chrI	-	119643	118386	
YAL017W	"PSK1, FUN31"	chrI	+	119850	123898	
YAL016W	"TPD3, FUN32"	chrI	+	124786	126866	
YAL015C	"NTG1, SCR1, FUN33"	chrI	-	128204	126725	
YAL014C	"SYN8, SLT2, UIP2"	chrI	-	129078	126854	
YAL013W	"DEP1, FUN54"	chrI	+	129210	130560	
YAL012W	"CYS3, STR1, FUN35, CYI1"	chrI	+	130728	132080	
YAL011W	"SWC3, SWC1"	chrI	+	132192	134096	
YAL010C	"MDM10, FUN37"	chrI	-	135709	134076	
YAL009W	SPO7	chrI	+	135809	136609	
YAL008W	FUN14	chrI	+	136857	137641	
YAL007C	ERP2	chrI	-	138453	137829	
CUT002		chrI	+	138605	138829	
YAL005C	"SSA1, YG100"	chrI	-	141533	139325	
YAL003W	"EFB1, EF-1 beta, TEF5"	chrI	+	142121	142257	
anti004		chrI	-	142437	142380	
anti005		chrI	-	143165	142780	
YAL002W	"VPS8, VPT8, FUN15"	chrI	+	143570	147537	
YAL001C	"TFC3, TSV115, FUN24"	chrI	-	151005	147773	
CUT441		chrI	-	152033	151617	
YAR002W	NUP60	chrI	+	152209	153921	
YAR002C-A	ERP1	chrI	-	154764	154005	
YAR003W	"SWD1, SAF49, CPS50, FUN16"	chrI	+	154921	156457	
YAR007C	"RFA1, RPA1, FUN3, BUF2"	chrI	-	158701	156789	
YAR008W	"SEN34, FUN4"	chrI	+	158849	159802	
YAR014C	BUD14	chrI	-	169028	166950	
YAR015W	ADE1	chrI	+	169264	170392	
CUT004		chrI	+	170500	172449	
YAR018C	"KIN3, NPK1, FUN52"	chrI	-	171716	170437	
YAR019C	"CDC15, LYT1"	chrI	-	175185	172330	
Unit006		chrI	+	176354	176568	
YAR020C	PAU7	chrI	-	177125	176678	
YAR023C		chrI	-	179922	179103	
CUT005		chrI	+	180257	180513	
YAR027W	UIP3	chrI	+	183626	184601	
YAR028W		chrI	+	184833	185697	
YAR029W		chrI	+	186219	186723	
YAR031W	PRM9	chrI	+	186953	187889	
YAR033W	MST28	chrI	+	188005	188989	
anti-YAR033W-2		chrI	-	189092	188795	
YAR035W	YAT1	chrI	+	190091	192434	
anti006		chrI	-	191405	189420	
SUT436		chrI	-	192201	191617	
YAR035C-A		chrI	-	192519	192159	
YAR042W	"SWH1, OSH1, YAR044W"	chrI	+	192538	196313	
Unit003		chrI	-	196734	196202	
Unit007		chrI	+	198926	199889	
CUT442		chrI	-	200426	199986	
YAR050W	"FLO1, FLO4, FLO2"	chrI	+	203300	208194	
YAR064W		chrI	+	220096	220675	
YAR066W		chrI	+	220947	221838	
YAR068W		chrI	+	222304	223069	
YAR071W	PHO11	chrI	+	225358	227041	
YBL113C		chrII	-	2760	102	
YBL112C		chrII	-	3001	2404	
YBL111C		chrII	-	5111	2729	
YBL108C-A		chrII	-	7835	7427	
YBL107C		chrII	-	10653	9783	
YBL106C	"SRO77, SNI2, SOP2"	chrII	-	14153	10545	
YBL105C	"PKC1, STT1, HPO2, CLY15"	chrII	-	17969	14137	
YBL104C	YBL103C-A	chrII	-	21313	18473	
YBL103C	RTG3	chrII	-	23802	21834	
YBL102W	SFT2	chrII	+	23981	24948	
